date,high_f,precip_mm
2005-01-01,62.540176470588236,0.0
2005-01-02,47.522882352941174,2.9505882352941173
2005-01-03,58.269411764705886,1.424705882352941
2005-01-04,60.703117647058825,18.637941176470587
2005-01-05,48.62405882352942,0.42176470588235293
2005-01-06,47.13111764705882,0.0
2005-01-07,46.80923529411764,0.016764705882352942
2005-01-08,60.29176470588236,0.020294117647058824
2005-01-09,66.27147058823529,0.006470588235294118
2005-01-10,67.30064705882353,0.0
2005-01-11,59.747,0.0
2005-01-12,48.4255294117647,0.07529411764705883
2005-01-13,48.77917647058823,0.0
2005-01-14,48.87764705882353,0.16411764705882353
2005-01-15,43.72964705882353,0.0
2005-01-16,46.112,0.0
2005-01-17,46.27823529411765,0.0
2005-01-18,53.728647058823526,0.0
2005-01-19,61.46017647058824,0.0
2005-01-20,69.20864705882353,0.0
2005-01-21,65.91464705882353,0.0
2005-01-22,48.09994117647059,0.012941176470588235
2005-01-23,56.68064705882353,0.009705882352941175
2005-01-24,65.25764705882354,0.0
2005-01-25,67.77447058823529,0.0
2005-01-26,49.61617647058823,2.763235294117647
2005-01-27,43.31247058823529,8.035588235294117
2005-01-28,56.44294117647058,0.8435294117647059
2005-01-29,54.05952941176471,1.1773529411764707
2005-01-30,43.56235294117647,6.540882352941176
2005-01-31,39.88505882352941,0.13058823529411767
2005-02-01,40.803588235294114,0.18352941176470589
2005-02-02,45.53017647058824,0.003235294117647059
2005-02-03,50.97411764705882,0.003235294117647059
2005-02-04,54.04311764705883,0.0
2005-02-05,49.467411764705886,4.877941176470588
2005-02-06,50.405529411764704,9.280882352941177
2005-02-07,51.373823529411766,0.08147058823529411
2005-02-08,56.08982352941177,0.021176470588235293
2005-02-09,49.368941176470585,0.021176470588235293
2005-02-10,48.04382352941177,0.10588235294117647
2005-02-11,49.88670588235294,0.6338235294117647
2005-02-12,57.85647058823529,1.8920588235294118
2005-02-13,63.75888235294118,0.0
2005-02-14,65.62347058823529,0.0
2005-02-15,69.07576470588235,0.0
2005-02-16,48.97029411764706,0.0
2005-02-17,47.185117647058824,0.013235294117647059
2005-02-18,45.326882352941176,2.485588235294118
2005-02-19,66.33500000000001,0.883235294117647
2005-02-20,64.01723529411765,0.01852941176470588
2005-02-21,64.33488235294118,0.0
2005-02-22,67.5224705882353,0.11205882352941177
2005-02-23,56.10041176470588,0.4188235294117647
2005-02-24,48.38635294117647,0.07441176470588234
2005-02-25,52.15788235294117,0.08411764705882352
2005-02-26,52.66876470588235,0.003235294117647059
2005-02-27,58.46794117647058,0.024117647058823532
2005-02-28,60.72641176470588,0.0
2005-03-01,53.95470588235294,0.6197058823529412
2005-03-02,60.747058823529414,0.0
2005-03-03,63.62017647058823,1.0938235294117646
2005-03-04,62.96688235294117,0.0
2005-03-05,57.520823529411764,0.09205882352941176
2005-03-06,58.852294117647055,0.31529411764705884
2005-03-07,60.512,0.0
2005-03-08,67.2360588235294,0.1261764705882353
2005-03-09,64.84470588235295,0.0
2005-03-10,61.80164705882353,0.0
2005-03-11,64.33488235294118,0.0
2005-03-12,78.008,0.0
2005-03-13,53.78370588235294,0.9726470588235294
2005-03-14,49.49070588235294,3.98
2005-03-15,34.87788235294118,10.79264705882353
2005-03-16,46.33223529411765,1.2258823529411764
2005-03-17,59.9365294117647,0.14411764705882354
2005-03-18,62.746117647058824,0.002058823529411765
2005-03-19,59.116470588235295,0.0
2005-03-20,66.0755882352941,0.16147058823529412
2005-03-21,62.01076470588235,0.4264705882352941
2005-03-22,60.72429411764706,0.0
2005-03-23,69.42729411764705,0.0
2005-03-24,62.54599999999999,0.0
2005-03-25,55.35341176470588,3.0647058823529414
2005-03-26,44.92029411764706,7.866764705882353
2005-03-27,63.03941176470589,0.0
2005-03-28,76.35623529411765,0.3473529411764706
2005-03-29,64.1670588235294,0.0
2005-03-30,63.25488235294118,0.002058823529411765
2005-03-31,50.67605882352942,1.511764705882353
2005-04-01,59.351000000000006,0.0
2005-04-02,72.185,0.003235294117647059
2005-04-03,70.77517647058824,0.0
2005-04-04,78.60835294117648,0.0
2005-04-05,64.28670588235295,0.8479411764705882
2005-04-06,66.10841176470589,0.0
2005-04-07,71.89170588235294,0.0
2005-04-08,78.9969411764706,0.0
2005-04-09,76.09788235294117,0.0
2005-04-10,62.228882352941184,0.009705882352941175
2005-04-11,62.79482352941176,0.0
2005-04-12,69.55805882352942,0.0
2005-04-13,76.36417647058823,0.0
2005-04-14,76.70352941176469,0.2247058823529412
2005-04-15,73.84470588235295,2.426470588235294
2005-04-16,74.42494117647058,3.3811764705882354
2005-04-17,75.25135294117646,1.9670588235294115
2005-04-18,81.61329411764706,0.7364705882352941
2005-04-19,81.02723529411765,0.003235294117647059
2005-04-20,81.65405882352943,0.0
2005-04-21,75.12111764705882,0.0
2005-04-22,69.66711764705882,0.0
2005-04-23,69.4045294117647,0.0
2005-04-24,54.57941176470588,9.826176470588235
2005-04-25,67.41023529411764,1.766470588235294
2005-04-26,70.24523529411763,0.17058823529411768
2005-04-27,77.68135294117647,0.0
2005-04-28,77.98523529411764,0.0
2005-04-29,68.62047058823529,0.24117647058823527
2005-04-30,64.68482352941176,0.012058823529411766
2005-05-01,65.63776470588235,1.2723529411764707
2005-05-02,51.71317647058824,2.1511764705882355
2005-05-03,58.76811764705882,1.34
2005-05-04,67.79141176470588,0.051176470588235295
2005-05-05,76.77711764705883,0.008529411764705883
2005-05-06,77.67394117647058,0.4861764705882353
2005-05-07,75.77229411764705,0.039411764705882354
2005-05-08,79.46335294117648,0.0
2005-05-09,83.94376470588236,0.0
2005-05-10,88.55176470588235,0.0
2005-05-11,84.94964705882353,0.11117647058823531
2005-05-12,82.82035294117648,0.2697058823529412
2005-05-13,81.689,0.008823529411764706
2005-05-14,76.75170588235294,2.1911764705882355
2005-05-15,60.408764705882355,6.508235294117647
2005-05-16,80.58411764705883,0.1264705882352941
2005-05-17,88.84770588235293,0.0
2005-05-18,85.82105882352941,0.0
2005-05-19,92.54405882352941,0.0
2005-05-20,94.45311764705882,0.0
2005-05-21,97.63064705882353,0.0
2005-05-22,96.70205882352941,0.006176470588235294
2005-05-23,99.33535294117645,0.008823529411764706
2005-05-24,94.04652941176471,0.02235294117647059
2005-05-25,91.61494117647057,7.507941176470588
2005-05-26,66.86811764705882,7.945294117647059
2005-05-27,77.13447058823529,9.456470588235293
2005-05-28,71.8525294117647,9.95029411764706
2005-05-29,76.26941176470588,3.738235294117647
2005-05-30,78.74917647058822,7.909705882352942
2005-05-31,83.02523529411765,3.8644117647058818
2005-06-01,83.61076470588236,0.29058823529411765
2005-06-02,88.95147058823531,0.02088235294117647
2005-06-03,86.27211764705882,3.5267647058823535
2005-06-04,83.26717647058823,0.0
2005-06-05,85.505,0.011470588235294118
2005-06-06,88.43582352941176,1.5226470588235295
2005-06-07,91.45876470588234,0.8485294117647059
2005-06-08,91.83464705882353,0.0
2005-06-09,92.17770588235294,0.054117647058823534
2005-06-10,90.347,1.2476470588235296
2005-06-11,89.24476470588236,1.603235294117647
2005-06-12,86.396,0.5902941176470589
2005-06-13,91.33964705882353,0.02382352941176471
2005-06-14,88.70264705882353,0.21029411764705883
2005-06-15,94.70776470588235,0.1808823529411765
2005-06-16,97.07529411764706,1.7511764705882353
2005-06-17,97.58458823529412,0.0
2005-06-18,97.54117647058824,0.0
2005-06-19,101.70976470588235,0.0
2005-06-20,96.25576470588236,0.0
2005-06-21,93.70770588235294,0.003235294117647059
2005-06-22,94.82529411764706,0.0
2005-06-23,95.47647058823529,0.006470588235294118
2005-06-24,95.21864705882354,0.016176470588235296
2005-06-25,92.36723529411765,0.36
2005-06-26,89.21352941176471,3.738235294117647
2005-06-27,94.6140588235294,3.3435294117647056
