field_id,mean_ndvi,soil_name,drainage
NM_FIELD_019,0.0848139254846305,Estacado,Well drained
NM_FIELD_060,0.1458798070107737,Acuff,Well drained
NM_FIELD_188,0.3562801751223477,Olton,Well drained
